Year,Holiday,Date,Observed Date
2001,New Year's Day,2001-01-01,2001-01-01
2001,Martin Luther King Jr. Day,2001-01-22,2001-01-22
2001,Presidents' Day,2001-02-26,2001-02-26
2001,Memorial Day,2001-06-04,2001-06-04
2001,Juneteenth National Independence Day,2001-06-19,2001-06-19
2001,Independence Day,2001-07-04,2001-07-04
2001,Labor Day,2001-09-03,2001-09-03
2001,Columbus Day,2001-10-15,2001-10-15
2001,Veterans Day,2001-11-11,2001-11-12
2001,Thanksgiving Day,2001-11-22,2001-11-22
2001,Christmas Day,2001-12-25,2001-12-25
2002,New Year's Day,2002-01-01,2002-01-01
2002,Martin Luther King Jr. Day,2002-01-28,2002-01-28
2002,Presidents' Day,2002-02-25,2002-02-25
2002,Memorial Day,2002-06-03,2002-06-03
2002,Juneteenth National Independence Day,2002-06-19,2002-06-19
2002,Independence Day,2002-07-04,2002-07-04
2002,Labor Day,2002-09-02,2002-09-02
2002,Columbus Day,2002-10-21,2002-10-21
2002,Veterans Day,2002-11-11,2002-11-11
2002,Thanksgiving Day,2002-11-28,2002-11-28
2002,Christmas Day,2002-12-25,2002-12-25
2003,New Year's Day,2003-01-01,2003-01-01
2003,Martin Luther King Jr. Day,2003-01-27,2003-01-27
2003,Presidents' Day,2003-02-24,2003-02-24
2003,Memorial Day,2003-06-02,2003-06-02
2003,Juneteenth National Independence Day,2003-06-19,2003-06-19
2003,Independence Day,2003-07-04,2003-07-04
2003,Labor Day,2003-09-01,2003-09-01
2003,Columbus Day,2003-10-20,2003-10-20
2003,Veterans Day,2003-11-11,2003-11-11
2003,Thanksgiving Day,2003-11-27,2003-11-27
2003,Christmas Day,2003-12-25,2003-12-25
2004,New Year's Day,2004-01-01,2004-01-01
2004,Martin Luther King Jr. Day,2004-01-26,2004-01-26
2004,Presidents' Day,2004-02-23,2004-02-23
2004,Memorial Day,2004-05-31,2004-05-31
2004,Juneteenth National Independence Day,2004-06-19,2004-06-18
2004,Independence Day,2004-07-04,2004-07-05
2004,Labor Day,2004-09-06,2004-09-06
2004,Columbus Day,2004-10-18,2004-10-18
2004,Veterans Day,2004-11-11,2004-11-11
2004,Thanksgiving Day,2004-11-25,2004-11-25
2004,Christmas Day,2004-12-25,2004-12-24
2005,New Year's Day,2005-01-01,2004-12-31
2005,Martin Luther King Jr. Day,2005-01-24,2005-01-24
2005,Presidents' Day,2005-02-28,2005-02-28
2005,Memorial Day,2005-05-30,2005-05-30
2005,Juneteenth National Independence Day,2005-06-19,2005-06-20
2005,Independence Day,2005-07-04,2005-07-04
2005,Labor Day,2005-09-05,2005-09-05
2005,Columbus Day,2005-10-17,2005-10-17
2005,Veterans Day,2005-11-11,2005-11-11
2005,Thanksgiving Day,2005-11-24,2005-11-24
2005,Christmas Day,2005-12-25,2005-12-26
2006,New Year's Day,2006-01-01,2006-01-02
2006,Martin Luther King Jr. Day,2006-01-23,2006-01-23
2006,Presidents' Day,2006-02-27,2006-02-27
2006,Memorial Day,2006-05-29,2006-05-29
2006,Juneteenth National Independence Day,2006-06-19,2006-06-19
2006,Independence Day,2006-07-04,2006-07-04
2006,Labor Day,2006-09-04,2006-09-04
2006,Columbus Day,2006-10-16,2006-10-16
2006,Veterans Day,2006-11-11,2006-11-10
2006,Thanksgiving Day,2006-11-23,2006-11-23
2006,Christmas Day,2006-12-25,2006-12-25
2007,New Year's Day,2007-01-01,2007-01-01
2007,Martin Luther King Jr. Day,2007-01-22,2007-01-22
2007,Presidents' Day,2007-02-26,2007-02-26
2007,Memorial Day,2007-06-04,2007-06-04
2007,Juneteenth National Independence Day,2007-06-19,2007-06-19
2007,Independence Day,2007-07-04,2007-07-04
2007,Labor Day,2007-09-03,2007-09-03
2007,Columbus Day,2007-10-15,2007-10-15
2007,Veterans Day,2007-11-11,2007-11-12
2007,Thanksgiving Day,2007-11-22,2007-11-22
2007,Christmas Day,2007-12-25,2007-12-25
2008,New Year's Day,2008-01-01,2008-01-01
2008,Martin Luther King Jr. Day,2008-01-28,2008-01-28
2008,Presidents' Day,2008-02-25,2008-02-25
2008,Memorial Day,2008-06-02,2008-06-02
2008,Juneteenth National Independence Day,2008-06-19,2008-06-19
2008,Independence Day,2008-07-04,2008-07-04
2008,Labor Day,2008-09-01,2008-09-01
2008,Columbus Day,2008-10-20,2008-10-20
2008,Veterans Day,2008-11-11,2008-11-11
2008,Thanksgiving Day,2008-11-27,2008-11-27
2008,Christmas Day,2008-12-25,2008-12-25
2009,New Year's Day,2009-01-01,2009-01-01
2009,Martin Luther King Jr. Day,2009-01-26,2009-01-26
2009,Presidents' Day,2009-02-23,2009-02-23
2009,Memorial Day,2009-06-01,2009-06-01
2009,Juneteenth National Independence Day,2009-06-19,2009-06-19
2009,Independence Day,2009-07-04,2009-07-03
2009,Labor Day,2009-09-07,2009-09-07
2009,Columbus Day,2009-10-19,2009-10-19
2009,Veterans Day,2009-11-11,2009-11-11
2009,Thanksgiving Day,2009-11-26,2009-11-26
2009,Christmas Day,2009-12-25,2009-12-25
2010,New Year's Day,2010-01-01,2010-01-01
2010,Martin Luther King Jr. Day,2010-01-25,2010-01-25
2010,Presidents' Day,2010-02-22,2010-02-22
2010,Memorial Day,2010-05-31,2010-05-31
2010,Juneteenth National Independence Day,2010-06-19,2010-06-18
2010,Independence Day,2010-07-04,2010-07-05
2010,Labor Day,2010-09-06,2010-09-06
2010,Columbus Day,2010-10-18,2010-10-18
2010,Veterans Day,2010-11-11,2010-11-11
2010,Thanksgiving Day,2010-11-25,2010-11-25
2010,Christmas Day,2010-12-25,2010-12-24
2011,New Year's Day,2011-01-01,2010-12-31
2011,Martin Luther King Jr. Day,2011-01-24,2011-01-24
2011,Presidents' Day,2011-02-28,2011-02-28
2011,Memorial Day,2011-05-30,2011-05-30
2011,Juneteenth National Independence Day,2011-06-19,2011-06-20
2011,Independence Day,2011-07-04,2011-07-04
2011,Labor Day,2011-09-05,2011-09-05
2011,Columbus Day,2011-10-17,2011-10-17
2011,Veterans Day,2011-11-11,2011-11-11
2011,Thanksgiving Day,2011-11-24,2011-11-24
2011,Christmas Day,2011-12-25,2011-12-26
2012,New Year's Day,2012-01-01,2012-01-02
2012,Martin Luther King Jr. Day,2012-01-23,2012-01-23
2012,Presidents' Day,2012-02-27,2012-02-27
2012,Memorial Day,2012-06-04,2012-06-04
2012,Juneteenth National Independence Day,2012-06-19,2012-06-19
2012,Independence Day,2012-07-04,2012-07-04
2012,Labor Day,2012-09-03,2012-09-03
2012,Columbus Day,2012-10-15,2012-10-15
2012,Veterans Day,2012-11-11,2012-11-12
2012,Thanksgiving Day,2012-11-22,2012-11-22
2012,Christmas Day,2012-12-25,2012-12-25
2013,New Year's Day,2013-01-01,2013-01-01
2013,Martin Luther King Jr. Day,2013-01-28,2013-01-28
2013,Presidents' Day,2013-02-25,2013-02-25
2013,Memorial Day,2013-06-03,2013-06-03
2013,Juneteenth National Independence Day,2013-06-19,2013-06-19
2013,Independence Day,2013-07-04,2013-07-04
2013,Labor Day,2013-09-02,2013-09-02
2013,Columbus Day,2013-10-21,2013-10-21
2013,Veterans Day,2013-11-11,2013-11-11
2013,Thanksgiving Day,2013-11-28,2013-11-28
2013,Christmas Day,2013-12-25,2013-12-25
2014,New Year's Day,2014-01-01,2014-01-01
2014,Martin Luther King Jr. Day,2014-01-27,2014-01-27
2014,Presidents' Day,2014-02-24,2014-02-24
2014,Memorial Day,2014-06-02,2014-06-02
2014,Juneteenth National Independence Day,2014-06-19,2014-06-19
2014,Independence Day,2014-07-04,2014-07-04
2014,Labor Day,2014-09-01,2014-09-01
2014,Columbus Day,2014-10-20,2014-10-20
2014,Veterans Day,2014-11-11,2014-11-11
2014,Thanksgiving Day,2014-11-27,2014-11-27
2014,Christmas Day,2014-12-25,2014-12-25
2015,New Year's Day,2015-01-01,2015-01-01
2015,Martin Luther King Jr. Day,2015-01-26,2015-01-26
2015,Presidents' Day,2015-02-23,2015-02-23
2015,Memorial Day,2015-06-01,2015-06-01
2015,Juneteenth National Independence Day,2015-06-19,2015-06-19
2015,Independence Day,2015-07-04,2015-07-03
2015,Labor Day,2015-09-07,2015-09-07
2015,Columbus Day,2015-10-19,2015-10-19
2015,Veterans Day,2015-11-11,2015-11-11
2015,Thanksgiving Day,2015-11-26,2015-11-26
2015,Christmas Day,2015-12-25,2015-12-25
2016,New Year's Day,2016-01-01,2016-01-01
2016,Martin Luther King Jr. Day,2016-01-25,2016-01-25
2016,Presidents' Day,2016-02-22,2016-02-22
2016,Memorial Day,2016-05-30,2016-05-30
2016,Juneteenth National Independence Day,2016-06-19,2016-06-20
2016,Independence Day,2016-07-04,2016-07-04
2016,Labor Day,2016-09-05,2016-09-05
2016,Columbus Day,2016-10-17,2016-10-17
2016,Veterans Day,2016-11-11,2016-11-11
2016,Thanksgiving Day,2016-11-24,2016-11-24
2016,Christmas Day,2016-12-25,2016-12-26
2017,New Year's Day,2017-01-01,2017-01-02
2017,Martin Luther King Jr. Day,2017-01-23,2017-01-23
2017,Presidents' Day,2017-02-27,2017-02-27
2017,Memorial Day,2017-05-29,2017-05-29
2017,Juneteenth National Independence Day,2017-06-19,2017-06-19
2017,Independence Day,2017-07-04,2017-07-04
2017,Labor Day,2017-09-04,2017-09-04
2017,Columbus Day,2017-10-16,2017-10-16
2017,Veterans Day,2017-11-11,2017-11-10
2017,Thanksgiving Day,2017-11-23,2017-11-23
2017,Christmas Day,2017-12-25,2017-12-25
2018,New Year's Day,2018-01-01,2018-01-01
2018,Martin Luther King Jr. Day,2018-01-22,2018-01-22
2018,Presidents' Day,2018-02-26,2018-02-26
2018,Memorial Day,2018-06-04,2018-06-04
2018,Juneteenth National Independence Day,2018-06-19,2018-06-19
2018,Independence Day,2018-07-04,2018-07-04
2018,Labor Day,2018-09-03,2018-09-03
2018,Columbus Day,2018-10-15,2018-10-15
2018,Veterans Day,2018-11-11,2018-11-12
2018,Thanksgiving Day,2018-11-22,2018-11-22
2018,Christmas Day,2018-12-25,2018-12-25
2019,New Year's Day,2019-01-01,2019-01-01
2019,Martin Luther King Jr. Day,2019-01-28,2019-01-28
2019,Presidents' Day,2019-02-25,2019-02-25
2019,Memorial Day,2019-06-03,2019-06-03
2019,Juneteenth National Independence Day,2019-06-19,2019-06-19
2019,Independence Day,2019-07-04,2019-07-04
2019,Labor Day,2019-09-02,2019-09-02
2019,Columbus Day,2019-10-21,2019-10-21
2019,Veterans Day,2019-11-11,2019-11-11
2019,Thanksgiving Day,2019-11-28,2019-11-28
2019,Christmas Day,2019-12-25,2019-12-25
2020,New Year's Day,2020-01-01,2020-01-01
2020,Martin Luther King Jr. Day,2020-01-27,2020-01-27
2020,Presidents' Day,2020-02-24,2020-02-24
2020,Memorial Day,2020-06-01,2020-06-01
2020,Juneteenth National Independence Day,2020-06-19,2020-06-19
2020,Independence Day,2020-07-04,2020-07-03
2020,Labor Day,2020-09-07,2020-09-07
2020,Columbus Day,2020-10-19,2020-10-19
2020,Veterans Day,2020-11-11,2020-11-11
2020,Thanksgiving Day,2020-11-26,2020-11-26
2020,Christmas Day,2020-12-25,2020-12-25
2021,New Year's Day,2021-01-01,2021-01-01
2021,Martin Luther King Jr. Day,2021-01-25,2021-01-25
2021,Presidents' Day,2021-02-22,2021-02-22
2021,Memorial Day,2021-05-31,2021-05-31
2021,Juneteenth National Independence Day,2021-06-19,2021-06-18
2021,Independence Day,2021-07-04,2021-07-05
2021,Labor Day,2021-09-06,2021-09-06
2021,Columbus Day,2021-10-18,2021-10-18
2021,Veterans Day,2021-11-11,2021-11-11
2021,Thanksgiving Day,2021-11-25,2021-11-25
2021,Christmas Day,2021-12-25,2021-12-24
2022,New Year's Day,2022-01-01,2021-12-31
2022,Martin Luther King Jr. Day,2022-01-24,2022-01-24
2022,Presidents' Day,2022-02-28,2022-02-28
2022,Memorial Day,2022-05-30,2022-05-30
2022,Juneteenth National Independence Day,2022-06-19,2022-06-20
2022,Independence Day,2022-07-04,2022-07-04
2022,Labor Day,2022-09-05,2022-09-05
2022,Columbus Day,2022-10-17,2022-10-17
2022,Veterans Day,2022-11-11,2022-11-11
2022,Thanksgiving Day,2022-11-24,2022-11-24
2022,Christmas Day,2022-12-25,2022-12-26
2023,New Year's Day,2023-01-01,2023-01-02
2023,Martin Luther King Jr. Day,2023-01-23,2023-01-23
2023,Presidents' Day,2023-02-27,2023-02-27
2023,Memorial Day,2023-05-29,2023-05-29
2023,Juneteenth National Independence Day,2023-06-19,2023-06-19
2023,Independence Day,2023-07-04,2023-07-04
2023,Labor Day,2023-09-04,2023-09-04
2023,Columbus Day,2023-10-16,2023-10-16
2023,Veterans Day,2023-11-11,2023-11-10
2023,Thanksgiving Day,2023-11-23,2023-11-23
2023,Christmas Day,2023-12-25,2023-12-25
2024,New Year's Day,2024-01-01,2024-01-01
2024,Martin Luther King Jr. Day,2024-01-22,2024-01-22
2024,Presidents' Day,2024-02-26,2024-02-26
2024,Memorial Day,2024-06-03,2024-06-03
2024,Juneteenth National Independence Day,2024-06-19,2024-06-19
2024,Independence Day,2024-07-04,2024-07-04
2024,Labor Day,2024-09-02,2024-09-02
2024,Columbus Day,2024-10-21,2024-10-21
2024,Veterans Day,2024-11-11,2024-11-11
2024,Thanksgiving Day,2024-11-28,2024-11-28
2024,Christmas Day,2024-12-25,2024-12-25
